Name;Points;meanX;meanY;meanZ;SF#1 name;SF#1 valid values;SF#1 mean;SF#1 std.dev.;SF#1 sum;SF#2 name;SF#2 valid values;SF#2 mean;SF#2 std.dev.;SF#2 sum;SF#3 name;SF#3 valid values;SF#3 mean;SF#3 std.dev.;SF#3 sum;SF#4 name;SF#4 valid values;SF#4 mean;SF#4 std.dev.;SF#4 sum;SF#5 name;SF#5 valid values;SF#5 mean;SF#5 std.dev.;SF#5 sum;SF#6 name;SF#6 valid values;SF#6 mean;SF#6 std.dev.;SF#6 sum;SF#7 name;SF#7 valid values;SF#7 mean;SF#7 std.dev.;SF#7 sum;SF#8 name;SF#8 valid values;SF#8 mean;SF#8 std.dev.;SF#8 sum;SF#9 name;SF#9 valid values;SF#9 mean;SF#9 std.dev.;SF#9 sum;SF#10 name;SF#10 valid values;SF#10 mean;SF#10 std.dev.;SF#10 sum;SF#11 name;SF#11 valid values;SF#11 mean;SF#11 std.dev.;SF#11 sum;SF#12 name;SF#12 valid values;SF#12 mean;SF#12 std.dev.;SF#12 sum;SF#13 name;SF#13 valid values;SF#13 mean;SF#13 std.dev.;SF#13 sum;SF#14 name;SF#14 valid values;SF#14 mean;SF#14 std.dev.;SF#14 sum;
Vertical_M3C2 - Cloud_CC#1;146;3217.49;1486.49;369.064;M3C2 distance;144;1.46347;1.1768;210.739;distance uncertainty;129;0.917823;0.252326;118.399;significant change;146;0.623288;0.484562;91;STD_cloud2;146;1.08178;0.195599;157.94;STD_cloud1;144;0.830079;0.402639;119.531;Npoints_cloud2;146;282.007;78.3806;41173;Npoints_cloud1;146;8.90411;3.7587;1300;Npoints cloud1 3D;146;10.3767;5.52471;1515;Npoints cloud2 3D;146;364.753;293.975;53254;STD cloud1 3D;146;0.286688;0.224309;41.8564;STD cloud2 3D;146;0.202337;0.102858;29.5413;significant change 3D;146;1;0;146;distance uncertainty 3D;146;0.513933;0.128092;75.0342;M3C2 distance 3D;146;1.12561;0.418716;164.339;
Vertical_M3C2 - Cloud_CC#3;229;3281.63;1537.52;369.856;M3C2 distance;228;1.16797;0.706749;266.296;distance uncertainty;219;0.892024;0.301337;195.353;significant change;229;0.641921;0.479435;147;STD_cloud2;229;0.929426;0.188008;212.839;STD_cloud1;228;1.00038;0.635937;228.086;Npoints_cloud2;229;159.616;26.3409;36552;Npoints_cloud1;229;14.0568;5.26431;3219;Npoints cloud1 3D;229;13.952;6.78699;3195;Npoints cloud2 3D;229;167.926;102.272;38455;STD cloud1 3D;229;0.379726;0.188181;86.9572;STD cloud2 3D;229;0.201609;0.172945;46.1684;significant change 3D;229;1;0;229;distance uncertainty 3D;229;0.539332;0.0954872;123.507;M3C2 distance 3D;229;1.09358;0.34485;250.431;
Vertical_M3C2 - Cloud_CC#4;38;3242.53;1535.32;367.389;M3C2 distance;27;0.494425;0.86858;13.3495;distance uncertainty;20;0.621974;0.227099;12.4395;significant change;38;0.368421;0.482376;14;STD_cloud2;38;0.959356;0.354307;36.4555;STD_cloud1;27;0.434297;0.400603;11.726;Npoints_cloud2;38;172.947;71.1303;6572;Npoints_cloud1;38;8.28947;7.70136;315;Npoints cloud1 3D;38;15.7368;7.85287;598;Npoints cloud2 3D;38;292.947;101.982;11132;STD cloud1 3D;38;0.76855;0.753444;29.2049;STD cloud2 3D;38;0.842962;0.815428;32.0325;significant change 3D;38;1;0;38;distance uncertainty 3D;38;0.718673;0.335764;27.3096;M3C2 distance 3D;38;1.05201;0.749861;39.9765;
Vertical_M3C2 - Cloud_CC#5;209;3127.74;1403.73;368.719;M3C2 distance;209;1.32356;0.720293;276.625;distance uncertainty;196;0.724442;0.193428;141.991;significant change;209;0.808612;0.393393;169;STD_cloud2;209;0.984551;0.144554;205.771;STD_cloud1;209;0.786576;0.485254;164.394;Npoints_cloud2;209;168.077;29.4396;35128;Npoints_cloud1;209;23.2249;8.90256;4854;Npoints cloud1 3D;209;21.5789;8.68011;4510;Npoints cloud2 3D;209;167.249;98.1793;34955;STD cloud1 3D;209;0.308552;0.143796;64.4873;STD cloud2 3D;209;0.181469;0.100135;37.9269;significant change 3D;209;1;0;209;distance uncertainty 3D;209;0.472884;0.0698374;98.8327;M3C2 distance 3D;209;1.01517;0.304821;212.17;
Vertical_M3C2 - Cloud_CC#6;469;3207.98;1544.05;370.221;M3C2 distance;469;1.5311;1.0413;718.084;distance uncertainty;469;0.809069;0.214583;379.453;significant change;469;0.703625;0.456658;330;STD_cloud2;469;0.952758;0.15589;446.843;STD_cloud1;469;0.929274;0.470653;435.829;Npoints_cloud2;469;270.55;100.349;126888;Npoints_cloud1;469;16.9339;4.83919;7942;Npoints cloud1 3D;469;13.9979;4.65734;6565;Npoints cloud2 3D;469;224.804;113.957;105433;STD cloud1 3D;469;0.352443;0.188398;165.296;STD cloud2 3D;469;0.144267;0.0858685;67.6611;significant change 3D;469;1;0;469;distance uncertainty 3D;469;0.522924;0.0999106;245.251;M3C2 distance 3D;469;1.28278;0.800378;601.625;
Vertical_M3C2 - Cloud_CC#7;124;3178.31;1570.15;371.172;M3C2 distance;124;0.739109;0.314897;91.6495;distance uncertainty;124;0.648071;0.0922308;80.3608;significant change;124;0.596774;0.490545;74;STD_cloud2;124;0.941205;0.10543;116.709;STD_cloud1;124;0.918906;0.258732;113.944;Npoints_cloud2;124;237.484;43.1248;29448;Npoints_cloud1;124;42.7419;13.9797;5300;Npoints cloud1 3D;124;34.2016;11.4497;4241;Npoints cloud2 3D;124;190.613;36.5078;23636;STD cloud1 3D;124;0.188869;0.0822453;23.4198;STD cloud2 3D;124;0.116128;0.0609004;14.3998;significant change 3D;124;1;0;124;distance uncertainty 3D;124;0.405555;0.0381745;50.2888;M3C2 distance 3D;124;0.613273;0.149055;76.0458;
Vertical_M3C2 - Cloud_CC#11;631;3175.95;1670.01;371.626;M3C2 distance;631;1.673;1.06838;1055.66;distance uncertainty;631;0.594196;0.1711;374.937;significant change;631;0.906498;0.291135;572;STD_cloud2;631;0.777985;0.126202;490.908;STD_cloud1;631;0.762504;0.600515;481.14;Npoints_cloud2;631;274.176;93.065;173005;Npoints_cloud1;631;44.7385;13.3138;28230;Npoints cloud1 3D;631;38.3439;12.4733;24195;Npoints cloud2 3D;631;235.45;89.6337;148569;STD cloud1 3D;631;0.365553;0.200554;230.664;STD cloud2 3D;631;0.139388;0.113527;87.9536;significant change 3D;631;1;0;631;distance uncertainty 3D;631;0.462636;0.0958511;291.923;M3C2 distance 3D;631;1.518;0.754931;957.858;
Vertical_M3C2 - Cloud_CC#12;3183;3027.87;1319.19;383.463;M3C2 distance;3131;3.84081;2.08801;12025.6;distance uncertainty;2777;0.922551;0.353669;2561.92;significant change;3183;0.804587;0.396518;2561;STD_cloud2;3183;1.02966;0.169104;3277.42;STD_cloud1;3131;0.8574;0.585076;2684.52;Npoints_cloud2;3183;147.514;70.8133;469537;Npoints_cloud1;3183;13.4565;9.86203;42832;Npoints cloud1 3D;3183;15.2491;10.6813;48538;Npoints cloud2 3D;3183;206.308;193.28;656677;STD cloud1 3D;3183;0.46192;0.297882;1470.29;STD cloud2 3D;3183;0.131562;0.0839463;418.762;significant change 3D;3183;1;0;3183;distance uncertainty 3D;3183;0.578766;0.135482;1842.21;M3C2 distance 3D;3183;3.05687;1.54374;9730.02;
Vertical_M3C2 - Cloud_CC#13;509;2972.82;1357.72;372.165;M3C2 distance;506;1.94322;1.44598;983.267;distance uncertainty;481;0.577097;0.342302;277.584;significant change;509;0.903733;0.294957;460;STD_cloud2;509;0.687003;0.282584;349.684;STD_cloud1;506;0.421494;0.686403;213.276;Npoints_cloud2;509;192.644;46.8095;98056;Npoints_cloud1;509;21.4971;8.65166;10942;Npoints cloud1 3D;509;21.7505;9.73028;11071;Npoints cloud2 3D;509;252.564;204.849;128555;STD cloud1 3D;509;0.505704;0.276691;257.403;STD cloud2 3D;509;0.181615;0.111918;92.4419;significant change 3D;509;1;0;509;distance uncertainty 3D;509;0.572306;0.155127;291.304;M3C2 distance 3D;509;1.70074;1.06526;865.678;
Vertical_M3C2 - Cloud_CC#18;38;3251.55;1645.53;374.289;M3C2 distance;29;1.33358;0.845319;38.6739;distance uncertainty;5;0.957148;0.108081;4.78574;significant change;38;0.131579;0.338032;5;STD_cloud2;38;0.718035;0.506198;27.2853;STD_cloud1;29;0.379884;0.369996;11.0166;Npoints_cloud2;38;91.6053;31.0513;3481;Npoints_cloud1;38;2.76316;3.02128;105;Npoints cloud1 3D;38;17.2105;5.48279;654;Npoints cloud2 3D;38;371.079;82.7582;14101;STD cloud1 3D;38;0.44275;0.161351;16.8245;STD cloud2 3D;38;0.691587;0.143347;26.2803;significant change 3D;38;1;0;38;distance uncertainty 3D;38;0.565754;0.096961;21.4986;M3C2 distance 3D;38;0.747022;0.247377;28.3868;
