Name;Points;meanX;meanY;meanZ;SF#1 name;SF#1 valid values;SF#1 mean;SF#1 std.dev.;SF#1 sum;SF#2 name;SF#2 valid values;SF#2 mean;SF#2 std.dev.;SF#2 sum;SF#3 name;SF#3 valid values;SF#3 mean;SF#3 std.dev.;SF#3 sum;SF#4 name;SF#4 valid values;SF#4 mean;SF#4 std.dev.;SF#4 sum;SF#5 name;SF#5 valid values;SF#5 mean;SF#5 std.dev.;SF#5 sum;SF#6 name;SF#6 valid values;SF#6 mean;SF#6 std.dev.;SF#6 sum;SF#7 name;SF#7 valid values;SF#7 mean;SF#7 std.dev.;SF#7 sum;SF#8 name;SF#8 valid values;SF#8 mean;SF#8 std.dev.;SF#8 sum;SF#9 name;SF#9 valid values;SF#9 mean;SF#9 std.dev.;SF#9 sum;SF#10 name;SF#10 valid values;SF#10 mean;SF#10 std.dev.;SF#10 sum;SF#11 name;SF#11 valid values;SF#11 mean;SF#11 std.dev.;SF#11 sum;SF#12 name;SF#12 valid values;SF#12 mean;SF#12 std.dev.;SF#12 sum;SF#13 name;SF#13 valid values;SF#13 mean;SF#13 std.dev.;SF#13 sum;SF#14 name;SF#14 valid values;SF#14 mean;SF#14 std.dev.;SF#14 sum;
Vertical_M3C2 - Cloud_CC#2;29;3187.27;1411.21;362.986;M3C2 distance;7;-0.29932;0.713585;-2.09524;distance uncertainty;1;0.923461;0.000166415;0.923461;significant change;29;0.0344828;0.182466;1;STD_cloud2;29;0.764604;0.434693;22.1735;STD_cloud1;7;0.255421;0.344433;1.78794;Npoints_cloud2;29;200.138;53.2209;5804;Npoints_cloud1;29;0.896552;1.88176;26;Npoints cloud1 3D;29;24.4483;10.7112;709;Npoints cloud2 3D;29;783;198.978;22707;STD cloud1 3D;29;0.665046;0.255645;19.2863;STD cloud2 3D;29;0.803305;0.186896;23.2958;significant change 3D;29;1;0;29;distance uncertainty 3D;29;0.611746;0.0748039;17.7406;M3C2 distance 3D;29;-1.65853;0.392551;-48.0975;
Vertical_M3C2 - Cloud_CC#3;2381;3085.24;1450.55;388.201;M3C2 distance;1981;-2.86086;2.55719;-5667.37;distance uncertainty;864;0.958519;0.469911;828.16;significant change;2381;0.223856;0.416826;533;STD_cloud2;2381;0.93085;0.424467;2216.35;STD_cloud1;1981;0.647176;0.675196;1282.05;Npoints_cloud2;2381;80.4095;79.8956;191455;Npoints_cloud1;2381;4.61949;5.39935;10999;Npoints cloud1 3D;2381;13.0466;11.439;31064;Npoints cloud2 3D;2381;204.195;227.78;486189;STD cloud1 3D;2381;0.589048;0.433269;1402.52;STD cloud2 3D;2381;0.314887;0.331175;749.746;significant change 3D;2381;1;0;2381;distance uncertainty 3D;2381;0.704057;0.293574;1676.36;M3C2 distance 3D;2381;-2.13579;1.67358;-5085.31;
Vertical_M3C2 - Cloud_CC#4;728;3170.03;1463.37;375.228;M3C2 distance;551;-4.71848;2.16214;-2599.88;distance uncertainty;123;0.977566;0.557943;120.241;significant change;728;0.142857;0.349927;104;STD_cloud2;728;0.8349;0.346567;607.807;STD_cloud1;551;0.45462;0.567841;250.496;Npoints_cloud2;728;68.9327;34.5648;50183;Npoints_cloud1;728;2.50549;2.71898;1824;Npoints cloud1 3D;728;8.06044;3.5936;5868;Npoints cloud2 3D;728;194.407;85.1552;141528;STD cloud1 3D;728;0.710963;0.560268;517.581;STD cloud2 3D;728;0.319998;0.316797;232.959;significant change 3D;728;1;0;728;distance uncertainty 3D;728;0.845111;0.392826;615.24;M3C2 distance 3D;728;-4.03834;1.62006;-2939.91;
Vertical_M3C2 - Cloud_CC#10;1297;3201.03;1500.43;386.262;M3C2 distance;1160;-2.97404;2.28512;-3449.89;distance uncertainty;493;0.959956;0.387547;473.259;significant change;1297;0.304549;0.460216;395;STD_cloud2;1297;1.05767;0.311494;1371.8;STD_cloud1;1160;0.652783;0.570079;757.229;Npoints_cloud2;1297;220.421;121.769;285886;Npoints_cloud1;1297;4.17733;3.42777;5418;Npoints cloud1 3D;1297;9.05628;4.65137;11746;Npoints cloud2 3D;1297;518.891;348.463;673002;STD cloud1 3D;1297;0.631538;0.516415;819.104;STD cloud2 3D;1297;0.260563;0.263061;337.95;significant change 3D;1297;1;0;1297;distance uncertainty 3D;1297;0.764036;0.344652;990.955;M3C2 distance 3D;1297;-2.32404;1.55557;-3014.29;
Vertical_M3C2 - Cloud_CC#16;992;2989.29;1377.35;386.923;M3C2 distance;860;-3.17632;2.21664;-2731.64;distance uncertainty;311;1.48191;0.569925;460.875;significant change;992;0.261089;0.439228;259;STD_cloud2;992;1.5497;0.601575;1537.31;STD_cloud1;860;0.985061;0.908035;847.153;Npoints_cloud2;992;83.3044;54.5594;82638;Npoints_cloud1;992;3.6623;3.64751;3633;Npoints cloud1 3D;992;9.53629;7.95658;9460;Npoints cloud2 3D;992;196.019;142.354;194451;STD cloud1 3D;992;0.661112;0.417457;655.824;STD cloud2 3D;992;0.323612;0.29427;321.023;significant change 3D;992;1;0;992;distance uncertainty 3D;992;0.788621;0.291033;782.312;M3C2 distance 3D;992;-2.12934;1.23227;-2112.3;
Vertical_M3C2 - Cloud_CC#19;21;3234.96;1521.06;371.783;M3C2 distance;21;-0.787448;1.05769;-16.5364;distance uncertainty;11;1.1819;0.175229;13.0009;significant change;21;0.190476;0.392677;4;STD_cloud2;21;1.26849;0.218323;26.6382;STD_cloud1;21;0.839529;0.554379;17.6301;Npoints_cloud2;21;112.857;23.4709;2370;Npoints_cloud1;21;5.80952;4.3383;122;Npoints cloud1 3D;21;9.71429;3.26807;204;Npoints cloud2 3D;21;254.476;134.255;5344;STD cloud1 3D;21;0.293656;0.110365;6.16678;STD cloud2 3D;21;0.183286;0.0303254;3.84902;significant change 3D;21;1;0;21;distance uncertainty 3D;21;0.519841;0.0553695;10.9167;M3C2 distance 3D;21;-0.579506;0.094717;-12.1696;
Vertical_M3C2 - Cloud_CC#23;61;2957.17;1314.17;371.253;M3C2 distance;58;-1.11207;0.430002;-64.5003;distance uncertainty;41;0.642492;0.0903222;26.3422;significant change;61;0.540984;0.498318;33;STD_cloud2;61;0.791495;0.336931;48.2812;STD_cloud1;58;0.441735;0.264613;25.6206;Npoints_cloud2;61;182.115;44.2308;11109;Npoints_cloud1;61;11.2623;9.66641;687;Npoints cloud1 3D;61;31.2951;54.2055;1909;Npoints cloud2 3D;61;453.361;641.049;27655;STD cloud1 3D;61;0.664492;2.15811;40.534;STD cloud2 3D;61;0.627507;1.97769;38.2779;significant change 3D;61;1;0;61;distance uncertainty 3D;61;0.517375;0.205518;31.5599;M3C2 distance 3D;61;-1.05102;0.612017;-64.1121;
Vertical_M3C2 - Cloud_CC#32;34;2924.84;1374.53;375.496;M3C2 distance;34;-0.588622;0.219857;-20.0132;distance uncertainty;34;0.63846;0.108208;21.7076;significant change;34;0.411765;0.492153;14;STD_cloud2;34;0.803096;0.245245;27.3052;STD_cloud1;34;0.827977;0.276041;28.1512;Npoints_cloud2;34;171.588;30.907;5834;Npoints_cloud1;34;35.0882;4.82254;1193;Npoints cloud1 3D;34;30.2059;5.50817;1027;Npoints cloud2 3D;34;148.971;35.0214;5065;STD cloud1 3D;34;0.206872;0.0620427;7.03364;STD cloud2 3D;34;0.17596;0.0640766;5.98265;significant change 3D;34;1;0;34;distance uncertainty 3D;34;0.415144;0.0282563;14.1149;M3C2 distance 3D;34;-0.489599;0.0541238;-16.6464;
Vertical_M3C2 - Cloud_CC#41;45;3133.87;1393.15;378.466;M3C2 distance;45;-0.596452;0.418774;-26.8403;distance uncertainty;45;0.894042;0.144728;40.2319;significant change;45;0.2;0.4;9;STD_cloud2;45;1.18557;0.0784949;53.3509;STD_cloud1;45;1.09182;0.290815;49.1321;Npoints_cloud2;45;217.111;13.1778;9770;Npoints_cloud1;45;16.2222;2.55507;730;Npoints cloud1 3D;45;12.4;2.83941;558;Npoints cloud2 3D;45;159.4;9.43846;7173;STD cloud1 3D;45;0.182903;0.0631303;8.23062;STD cloud2 3D;45;0.114427;0.0242274;5.14923;significant change 3D;45;1;0;45;distance uncertainty 3D;45;0.439829;0.0397716;19.7923;M3C2 distance 3D;45;-0.550534;0.0702296;-24.774;
Vertical_M3C2 - Cloud_CC#42;142;3163.94;1386.1;384.989;M3C2 distance;98;-1.38569;0.564906;-135.798;distance uncertainty;16;0.98334;0.239953;15.7334;significant change;142;0.084507;0.278147;12;STD_cloud2;142;0.776841;0.177642;110.311;STD_cloud1;98;0.424465;0.346882;41.5976;Npoints_cloud2;142;55.2606;16.3938;7847;Npoints_cloud1;142;1.99296;1.84428;283;Npoints cloud1 3D;142;7.73944;3.2925;1099;Npoints cloud2 3D;142;173.958;50.7085;24702;STD cloud1 3D;142;0.592931;0.20455;84.1961;STD cloud2 3D;142;0.470968;0.206614;66.8775;significant change 3D;142;1;0;142;distance uncertainty 3D;142;0.773943;0.153176;109.9;M3C2 distance 3D;142;-1.32197;0.524791;-187.72;
